Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
1,1,2024-01-01,5412.07,528,1,1,0,0
1,2,2024-01-02,5471.07,558,1,1,0,0
1,3,2024-01-03,5152.39,499,1,1,0,0
1,4,2024-01-04,4887.36,484,1,0,0,0
1,5,2024-01-05,5525.49,542,1,0,0,0
1,6,2024-01-06,5638.52,573,1,0,0,0
1,7,2024-01-07,0.0,13,0,0,0,0
1,1,2024-01-08,4950.03,484,1,0,0,0
1,2,2024-01-09,4943.63,482,1,0,0,0
1,3,2024-01-10,5010.23,500,1,0,0,0
1,4,2024-01-11,5408.05,532,1,1,0,0
1,5,2024-01-12,6232.34,621,1,1,0,0
1,6,2024-01-13,6039.62,599,1,1,0,0
1,7,2024-01-14,0.0,4,0,0,0,0
1,1,2024-01-15,4981.24,503,1,0,0,0
1,2,2024-01-16,5194.02,514,1,0,0,0
1,3,2024-01-17,4880.85,478,1,0,0,0
1,4,2024-01-18,5021.49,515,1,0,0,0
1,5,2024-01-19,5589.13,548,1,0,0,0
1,6,2024-01-20,5509.07,558,1,0,0,0
1,7,2024-01-21,0.0,6,0,1,0,0
1,1,2024-01-22,5408.45,543,1,1,0,0
1,2,2024-01-23,5507.41,553,1,1,0,0
1,3,2024-01-24,5083.05,510,1,0,0,0
1,4,2024-01-25,5064.97,507,1,0,0,0
1,5,2024-01-26,5673.18,574,1,0,0,0
1,6,2024-01-27,5468.57,543,1,0,0,0
1,7,2024-01-28,0.0,0,0,0,0,0
1,1,2024-01-29,4970.18,514,1,0,0,0
1,2,2024-01-30,4904.11,502,1,0,0,0
1,3,2024-01-31,5330.83,529,1,1,0,0
1,4,2024-02-01,5557.02,562,1,1,0,0
1,5,2024-02-02,6277.51,637,1,1,0,0
1,6,2024-02-03,6154.93,609,1,1,0,0
1,7,2024-02-04,0.0,0,0,0,0,0
1,1,2024-02-05,4882.77,474,1,0,0,0
1,2,2024-02-06,4929.98,498,1,0,0,0
